Metropolitan areas	Year	CO2_PC	GDP_PC	GREEN_AREA_PC	LABOUR_PRODUCTIVITY	UNEMP_R
Vienna	2000	12.77	45434.48	255.17	94254.6	4.77
Vienna	2001		45479.15	252.68	94805.82	4.83
Vienna	2002		46065.5	250.22	100463.1	5.82
Vienna	2003		45470.92	247.77	97851.61	6.24
Vienna	2004		46148.38	245.34	102259.13	7.2
Vienna	2005	15.42	46327.07	242.92	102121.39	7.37
Vienna	2006		47550.9	240.53	101338.84	7.05
Vienna	2007		48254.48	238.15	101390.88	6.57
Vienna	2008	14.23	48755.43	235.79	102134.84	5.51
Vienna	2009		46862.31	233.44	98612.43	6.31
Vienna	2010		47076.79	231.12	98936.65	6.02
Vienna	2011		47604.65	228.81	99807.58	5.99
Vienna	2012		47307.24	226.52	99496.92	6.62
Vienna	2013			224.24		7.03
Vienna	2014			221.99		
Graz	2000	10.23	38661.86	997.39	82440.05	3.06
Graz	2001		38761.08	988.23	82725.05	3.56
Graz	2002		38799.5	979.1	84272.28	3.61
Graz	2003		39570.09	969.96	84714.64	4.05
Graz	2004		40950.39	960.85	88788.45	3.75
Graz	2005	11.99	41570.98	951.75	86716.61	4.2
Graz	2006		41980.19	942.72	86330.82	4.07
Graz	2007		43244.35	933.67	88382.57	3.99
Graz	2008	10.69	43354.61	924.67	89369.25	3.68
Graz	2009		41335.01	915.69	85954.45	4.85
Graz	2010		41510.68	906.73	89284.88	4.49
Graz	2011		42869.18	897.83	92778.26	3.7
Graz	2012		43102.13	888.95	91858.42	3.7
Graz	2013			880.11		4.55
Graz	2014			871.29		
Linz	2000	14.25	39992.44	1791.92	84577.74	3.1
Linz	2001		40643.35	1784.87	85571.78	2.74
Linz	2002		40622.54	1777.8	85614.05	3.0
Linz	2003		41384.92	1770.71	84711.68	3.12
Linz	2004		41888.29	1763.59	88040.03	3.54
Linz	2005	16.49	42740.0	1756.49	88518.65	3.79
Linz	2006		43940.66	1749.38	88396.05	2.98
Linz	2007		45163.52	1742.23	89059.03	3.07
Linz	2008	17.58	46865.63	1735.1	91483.8	2.46
Linz	2009		44506.17	1727.91	87807.75	3.6
Linz	2010		45117.43	1720.77	90075.35	4.05
Linz	2011		46271.57	1713.59	89837.93	3.06
Linz	2012		46469.25	1706.4	90519.32	3.12
Linz	2013			1699.2		4.41
Linz	2014			1691.99		
Australia	2000	19.52	36321.38		77642.46	6.28
Australia	2001		37243.24		79628.52	6.74
Australia	2002		37955.82		80515.27	6.37
Australia	2003		39081.38		82021.03	5.93
Australia	2004		39909.42		83225.91	5.39
Australia	2005	20.19	40605.67		82919.21	5.03
Australia	2006		41567.76		83966.98	4.78
Australia	2007		42327.16		84488.34	4.38
Australia	2008	19.86	42205.89		83573.49	4.23
Australia	2009		42156.34		84626.74	5.56
Australia	2010		42469.13		84889.19	5.21
Australia	2011		43444.42		86540.62	5.08
Australia	2012		43774.98		87680.26	5.22
Australia	2013		44117.54		88986.28	5.65
Australia	2014					6.06
Sydney	2000	9.37	38565.96	55.38	79357.95	4.35
Sydney	2001		38766.27	54.83	79312.36	5.08
Sydney	2002		39394.45	54.4	79402.73	5.08
Sydney	2003		40551.81	54.04	82268.24	5.04
Sydney	2004		40949.18	53.76	82718.93	4.68
Sydney	2005	9.48	40809.64	53.34	81221.86	4.4
Sydney	2006		40972.71	52.86	81384.41	4.53
Sydney	2007		41348.77	52.01	82015.13	4.51
Sydney	2008	9.43	40663.05	51.02	79912.14	4.49
Sydney	2009		41377.61	50.08	82354.6	6.08
Sydney	2010		41163.05	49.38	81950.7	5.01
Sydney	2011		41949.75	48.81	82997.89	5.06
Sydney	2012		42764.03	48.11	84582.98	4.82
Sydney	2013		42823.59	47.3	84879.8	5.36
Sydney	2014			46.47		
Melbourne	2000	11.22	36335.73	44.0	75436.48	5.73
Melbourne	2001		37548.32	43.48	77371.52	6.28
Melbourne	2002		38497.29	42.92	77806.06	5.76
Melbourne	2003		39015.16	42.35	79930.29	5.58
Melbourne	2004		39551.74	41.79	79886.23	5.2
Melbourne	2005	10.39	38842.16	41.16	76914.39	4.93
Melbourne	2006		39160.89	40.47	77425.72	4.7
Melbourne	2007		39863.89	39.61	77994.22	4.57
Melbourne	2008	10.22	38203.83	38.71	74138.52	4.37
Melbourne	2009		38853.51	37.75	76314.9	5.64
Melbourne	2010		37940.97	37.07	73408.8	5.08
Melbourne	2011		38453.2	36.5	74275.47	5.04
Melbourne	2012		39274.3	35.79	76622.87	5.44
Melbourne	2013		39358.19	35.03	77549.44	5.99
Melbourne	2014			34.27		
Brisbane	2000	11.03	32509.64	697.75	67459.13	7.05
Brisbane	2001		34543.73	683.82	72915.99	8.12
Brisbane	2002		34567.94	667.2	68114.78	6.91
Brisbane	2003		36276.83	650.37	73332.0	6.26
Brisbane	2004		38110.19	635.09	76440.97	5.28
Brisbane	2005	13.87	40292.69	620.55	78433.29	4.65
Brisbane	2006		41679.69	606.88	79854.67	4.19
Brisbane	2007		42087.6	591.19	79619.83	3.74
Brisbane	2008	13.64	43632.33	575.53	81906.68	3.35
Brisbane	2009		40965.64	559.87	77742.97	4.78
Brisbane	2010		40495.97	549.28	77196.75	5.06
Brisbane	2011		41533.06	539.28	79585.04	4.83
Brisbane	2012		41294.8	528.0	80418.36	5.52
Brisbane	2013		41042.69	517.91	80856.29	5.65
Brisbane	2014			509.14		
Perth	2000	7.79	39505.15	54.6	81611.93	6.1
Perth	2001		40402.99	53.69	83508.28	7.02
Perth	2002		41573.05	52.99	83969.09	6.19
Perth	2003		42824.99	52.23	116720.35	8.09
Perth	2004		44447.26	51.4	89698.85	5.22
Perth	2005	7.82	48893.47	50.58	95147.58	4.5
Perth	2006		53051.62	49.55	101637.4	3.65
Perth	2007		55152.36	47.98	103846.95	3.24
Perth	2008	7.55	58007.35	46.43	106755.68	2.98
Perth	2009		57388.49	44.93	108665.42	4.96
Perth	2010		64368.88	43.87	121517.26	4.56
Perth	2011		67287.52	42.62	126730.34	4.28
Perth	2012		65158.07	41.02	120435.51	3.99
Perth	2013		67662.15	39.61	127317.64	4.34
Perth	2014			38.66		
Adelaide	2000	8.15	31830.63	32.61	69665.32	7.62
Adelaide	2001		33189.82	32.35	73402.73	7.27
Adelaide	2002		33923.69	32.16	71382.37	6.52
Adelaide	2003		34910.87	31.96	55579.21	4.71
Adelaide	2004		35018.89	31.78	73935.78	6.04
Adelaide	2005	7.67	35119.69	31.55	72326.78	5.51
Adelaide	2006		35768.22	31.23	72866.58	5.12
Adelaide	2007		36941.91	30.84	75301.8	5.17
Adelaide	2008	7.62	35965.05	30.45	72665.32	4.98
Adelaide	2009		36696.1	30.02	74687.17	5.96
Adelaide	2010		36662.65	29.64	73101.47	5.37
Adelaide	2011		36666.43	29.38	73288.85	5.47
Adelaide	2012		37133.41	29.05	75124.66	5.53
Adelaide	2013		37402.31	28.76	76381.54	6.31
Adelaide	2014			28.47		
Gold Coast-Tweed Heads	2000	4.25	32509.64	285.41	69877.96	8.12
Gold Coast-Tweed Heads	2001		34543.73	278.39	72861.66	8.68
Gold Coast-Tweed Heads	2002		34567.94	267.88	68417.58	6.79
Gold Coast-Tweed Heads	2003		36276.83	257.32	74745.66	6.6
Gold Coast-Tweed Heads	2004		38110.19	249.15	80250.59	5.1
Gold Coast-Tweed Heads	2005	3.79	40292.69	241.95	81379.91	4.18
Gold Coast-Tweed Heads	2006		41679.69	234.82	81931.6	4.02
Gold Coast-Tweed Heads	2007		42087.6	226.38	78429.99	3.25
Gold Coast-Tweed Heads	2008	3.63	43632.33	219.61	84263.32	3.9
Gold Coast-Tweed Heads	2009		40965.64	213.34	80552.13	5.53
Gold Coast-Tweed Heads	2010		40495.97	209.03	79766.05	6.14
Gold Coast-Tweed Heads	2011		41533.06	205.42	79825.21	6.14
Gold Coast-Tweed Heads	2012		41294.8	200.95	81152.35	5.58
Gold Coast-Tweed Heads	2013		41042.69	197.09	81752.66	5.65
Gold Coast-Tweed Heads	2014			193.87		
Austria	2000	8.92	37641.78		81772.33	4.69
Austria	2001		38060.99		82587.63	4.01
Austria	2002		38486.37		84579.81	4.85
Austria	2003		38601.92		83487.6	4.78
Austria	2004		39440.47		89054.1	5.83
Austria	2005	10.69	39995.97		87533.05	5.63
Austria	2006		41071.1		88607.72	5.24
Austria	2007		42411.12		89532.73	4.86
Austria	2008	10.23	42937.64		89313.09	4.13
Austria	2009		41172.53		86176.78	5.3
Austria	2010		41863.11		87043.04	4.82
Austria	2011		43027.71		88926.1	4.56
Austria	2012		43237.84		89006.98	4.87
Austria	2013		43112.24		88771.07	5.33
Austria	2014					5.62
Brussels	2000	10.73	50468.28	327.98	126423.35	8.93
Brussels	2001		51040.39	324.8	131954.98	8.15
Brussels	2002		51540.13	321.64	134805.89	9.85
Brussels	2003		51320.2	318.5	133351.93	9.71
Brussels	2004		52575.36	315.38	133636.77	8.89
Brussels	2005	9.93	53171.57	312.28	134004.53	10.58
Brussels	2006		53613.74	309.2	136901.24	10.85
Brussels	2007		54423.96	306.15	135810.26	10.32
Brussels	2008	9.48	54519.18	303.11	134144.08	9.83
Brussels	2009		53501.72	300.09	132800.27	10.14
Brussels	2010		54631.33	297.1	135047.33	11.22
