Timestamp,Saturation,Lightness,Areas (circles),Areas (rectangles),Length (bars)
1/21/2018 22:55:30,6,6,3,9,8
1/22/2018 11:04:41,5,10,5,10,6
1/22/2018 11:04:52,7,5,2,3,8
1/22/2018 11:05:01,6,7,5,7,7
1/22/2018 11:05:14,6,5,5,7,8
1/22/2018 11:05:20,7,2,4,9,8
1/22/2018 11:05:29,6,8,5,9,7
1/22/2018 11:05:33,5,8,9,8,7
1/22/2018 11:05:35,6,7,9,6,8
1/22/2018 11:05:38,6,4,4,6,8
1/22/2018 11:05:49,8,4,4,6,7
1/22/2018 11:05:50,3,3,8,9,8
1/22/2018 11:05:52,7,5,6,7,8
1/22/2018 11:06:00,9,6,7,3,2
1/22/2018 11:06:13,6,10,3,6,7
1/22/2018 11:06:21,5,8,6,8,8
1/22/2018 11:06:22,7,8,5,6,8
1/22/2018 11:06:45,5,4,4,9,7
1/22/2018 11:07:04,5,4,4,6,8
1/22/2018 11:07:12,8,7,3,9,8
1/22/2018 11:07:27,6,3,2,6,4
1/22/2018 11:07:29,7,7,4,4,6
1/22/2018 11:08:00,2,5,4,8,8
1/22/2018 11:11:52,6,2,6,10,7
1/22/2018 11:18:41,4,4,8,8,8
