Revenue	MarketCap	Exchange
7500000.0	13123024.0	New York Stock Exchange (NYSE)
7500000.0	16739323.0	New York Stock Exchange (NYSE)
350000.0	43392.0	New York Stock Exchange (NYSE)
350000.0	26674.0	NASDAQ National Market
93750.0	48840.0	NASDAQ National Market
4312.0	304126.0	NASDAQ National Market
44250.0	307744.0	NASDAQ National Market
10229.0	28333.0	NASDAQ National Market
53863.0	203279.0	NYSE MKT
1601892.0	8064073.0	NASDAQ National Market
53162.0	216066.0	NASDAQ National Market
111443.0	441700.0	NASDAQ National Market
46007.0	88017.0	NASDAQ National Market
854637.0	3569213.0	New York Stock Exchange (NYSE)
29456000.0	54897708.0	New York Stock Exchange (NYSE)
1204400.0	1091435.0	New York Stock Exchange (NYSE)
53713.0	45462.0	NASDAQ National Market
6588300.0	1242495.0	New York Stock Exchange (NYSE)
44713.0	554741.0	NASDAQ National Market
769023.0	1281747.0	NASDAQ National Market
327910.0	453752.0	NASDAQ National Market
418395.0	565044.0	New York Stock Exchange (NYSE)
190355.0	689396.0	NASDAQ National Market
18978.0	40112.0	NASDAQ National Market
41554.0	94580.0	NASDAQ National Market
426800.0	563857.0	New York Stock Exchange (NYSE)
30221.0	59987.0	NASDAQ National Market
56540.0	135700.0	NASDAQ National Market
330889.0	1026008.0	NASDAQ National Market
39437.0	635647.0	NASDAQ National Market
2573973.0	609787.0	NASDAQ National Market
3127300.0	2826736.0	New York Stock Exchange (NYSE)
6715.0	4644.0	NASDAQ National Market
0.0	308276.0	NASDAQ National Market
775737.0	1245100.0	NASDAQ National Market
4594550.0	6710037.0	New York Stock Exchange (NYSE)
83766.0	381487.0	NASDAQ National Market
8950.0	137663.0	NASDAQ National Market
2044919.0	2409875.0	New York Stock Exchange (NYSE)
399619.0	2188400.0	NASDAQ National Market
3038.0	149801.0	NASDAQ National Market
60526.0	210887.0	NASDAQ National Market
546500.0	288548.0	NASDAQ National Market
73901.0	14951.0	NYSE MKT
0.0	390556.0	NASDAQ National Market
0.0	165954.0	NASDAQ National Market
7623200.0	3229789.0	New York Stock Exchange (NYSE)
234298.0	1205919.0	New York Stock Exchange (NYSE)
1387866.0	854449.0	NASDAQ National Market
109925.0	457853.0	NASDAQ National Market
1898000.0	3902407.0	New York Stock Exchange (NYSE)
2273311.0	984148.0	NASDAQ National Market
52557.0	279529.0	NASDAQ National Market
4920472.0	1054573.0	New York Stock Exchange (NYSE)
241550.0	78972.0	New York Stock Exchange (NYSE)
2262359.0	5995584.0	New York Stock Exchange (NYSE)
1456605.0	1771177.0	New York Stock Exchange (NYSE)
7954827.0	17449559.0	New York Stock Exchange (NYSE)
30944938.0	50768826.0	New York Stock Exchange (NYSE)
16965400.0	59865017.0	New York Stock Exchange (NYSE)
126750.0	225791.0	NASDAQ National Market
5594000.0	3657969.0	NYSE MKT
2871000.0	2841020.0	New York Stock Exchange (NYSE)
1639578.0	4010753.0	New York Stock Exchange (NYSE)
813524.0	2185655.0	NASDAQ National Market
5942.0	5059.0	NASDAQ National Market
3258400.0	12650836.0	NASDAQ National Market
138850.0	152772.0	NASDAQ National Market
3435092.0	17961522.0	NASDAQ National Market
303559.0	211347.0	NASDAQ National Market
89306.0	29569.0	NASDAQ National Market
540291.0	1025109.0	NASDAQ National Market
10235000.0	25074900.0	New York Stock Exchange (NYSE)
115312.0	555776.0	New York Stock Exchange (NYSE)
2490821.0	19264397.0	New York Stock Exchange (NYSE)
85952.0	152959.0	NASDAQ National Market
2814049.0	11365155.0	NASDAQ National Market
397978.0	348401.0	NASDAQ National Market
45481.0	5676.0	NYSE MKT
442221.0	241508.0	NASDAQ National Market
792326.0	49104.0	New York Stock Exchange (NYSE)
24704000.0	54357464.0	New York Stock Exchange (NYSE)
658768.0	599962.0	New York Stock Exchange (NYSE)
7477000.0	30638054.0	New York Stock Exchange (NYSE)
450557.0	3658952.0	NASDAQ National Market
1403563.0	4198857.0	New York Stock Exchange (NYSE)
2681580.0	4918980.0	NASDAQ National Market
85541.0	492856.0	NASDAQ National Market
83537.0	815401.0	NASDAQ National Market
64459.0	61313.0	NASDAQ National Market
440401.0	3110962.0	NASDAQ National Market
234847.0	849810.0	NASDAQ National Market
418276.0	724773.0	NASDAQ National Market
220194.0	276321.0	NASDAQ National Market
230311.0	4262402.0	NASDAQ National Market
377554.0	1328369.0	NASDAQ National Market
2330274.0	3318181.0	NASDAQ National Market
682695.0	2026764.0	NASDAQ National Market
24790.0	19687.0	NYSE MKT
313726.0	661738.0	NASDAQ National Market
78352.0	269991.0	NASDAQ National Market
21762.0	23758.0	NASDAQ National Market
32054.0	136680.0	NASDAQ National Market
955419.0	2330204.0	NASDAQ National Market
1255242.0	4120680.0	NASDAQ National Market
350000.0	1298025.0	NASDAQ National Market
910373.0	1423735.0	New York Stock Exchange (NYSE)
21059000.0	5629162.0	NASDAQ National Market
2705000.0	9594533.0	NASDAQ National Market
19621.0	93582.0	NASDAQ National Market
1467700.0	1597530.0	New York Stock Exchange (NYSE)
561673.0	73797.0	NASDAQ National Market
13886000.0	22788236.0	New York Stock Exchange (NYSE)
70530.0	146743.0	NASDAQ National Market
346939.0	1042580.0	NASDAQ National Market
505595.0	233865.0	NASDAQ National Market
41142.0	40095.0	NASDAQ National Market
3275137.0	2958222.0	New York Stock Exchange (NYSE)
1032336.0	22355480.0	NASDAQ National Market
552708.0	757524.0	NASDAQ National Market
249.0	180751.0	NASDAQ National Market
1357150.0	10978657.0	New York Stock Exchange (NYSE)
2163056.0	8444056.0	New York Stock Exchange (NYSE)
6799537.0	4577875.0	NASDAQ National Market
1623800.0	4275322.0	NASDAQ National Market
339462.0	1137793.0	NASDAQ National Market
92999.0	678983.0	NASDAQ National Market
2594.0	21627.0	NASDAQ National Market
106992.0	119883.0	NASDAQ National Market
160880.0	462367.0	NASDAQ National Market
89258.0	805946.0	NASDAQ National Market
3000000.0	9281416.0	New York Stock Exchange (NYSE)
942753.0	7840915.0	NASDAQ National Market
11239.0	120807.0	NASDAQ National Market
37172.0	1450209.0	NASDAQ National Market
1921904.0	3885672.0	New York Stock Exchange (NYSE)
5444500.0	3735651.0	New York Stock Exchange (NYSE)
959934.0	1491924.0	New York Stock Exchange (NYSE)
37500.0	197710.0	NASDAQ National Market
37500.0	42606.0	New York Stock Exchange (NYSE)
108664.0	120606.0	NASDAQ National Market
7300.0	7375.0	NASDAQ National Market
112500.0	244481.0	NASDAQ National Market
0.0	11574.0	NASDAQ National Market
309007.0	2639628.0	NASDAQ National Market
1370200.0	2281392.0	NASDAQ National Market
249034.0	453265.0	NASDAQ National Market
924728.0	4946002.0	NASDAQ National Market
2750.0	93572.0	NASDAQ National Market
559984.0	274535.0	NASDAQ National Market
477305.0	620960.0	NASDAQ National Market
214549.0	816619.0	NASDAQ National Market
149555.0	1590560.0	NASDAQ National Market
36766.0	268638.0	NASDAQ National Market
2197448.0	9517074.0	NASDAQ National Market
901265.0	4590712.0	NASDAQ National Market
336123.0	1213044.0	NASDAQ National Market
0.0	219811.0	NASDAQ National Market
656267.0	923682.0	New York Stock Exchange (NYSE)
111826.0	258063.0	NASDAQ National Market
7878.0	219608.0	NASDAQ National Market
0.0	49817.0	NASDAQ National Market
267304.0	863185.0	New York Stock Exchange (NYSE)
630832.0	136432.0	New York Stock Exchange (NYSE)
478986.0	1049372.0	NASDAQ National Market
701.0	15635.0	NASDAQ National Market
1365410.0	99933.0	New York Stock Exchange (NYSE)
0.0	26549.0	NASDAQ National Market
324225.0	1727362.0	NASDAQ National Market
21443.0	83316.0	NASDAQ National Market
122518.0	98743.0	New York Stock Exchange (NYSE)
119120.0	339389.0	New York Stock Exchange (NYSE)
89650.0	790003.0	NASDAQ National Market
0.0	42889.0	NASDAQ National Market
3000000.0	3671953.0	New York Stock Exchange (NYSE)
580.0	277451.0	NASDAQ National Market
8557.0	12215.0	NYSE MKT
243867.0	1147146.0	NYSE MKT
19024.0	54691.0	NASDAQ National Market
502665.0	164375.0	NYSE MKT
393112.0	979393.0	New York Stock Exchange (NYSE)
0.0	97955.0	NASDAQ National Market
2000457.0	2940165.0	New York Stock Exchange (NYSE)
77384.0	437822.0	New York Stock Exchange (NYSE)
313.0	158566.0	NASDAQ National Market
544753.0	2294159.0	New York Stock Exchange (NYSE)
547655.0	1811033.0	New York Stock Exchange (NYSE)
21031.0	78668.0	NASDAQ National Market
259838.0	622426.0	NASDAQ National Market
999193.0	190708.0	NASDAQ National Market
217670.0	170312.0	New York Stock Exchange (NYSE)
697700.0	968704.0	New York Stock Exchange (NYSE)
