C	METRO_ID	Metropolitan areas	LABOUR_PRODUCTIVITY	UNEMP_R	GDP_PC
ES	ES001	Madrid	1.2748789663990225	0.8285845364997977	1.253805514299194
ES	ES001	Madrid	1.24790228756302	0.5414653892861963	1.291793222952622
ES	ES001	Madrid		0.5215166644177575	1.3109342993352033
ES	ES001	Madrid	1.2203475020031984	0.5279287545540413	1.330939772740338
ES	ES001	Madrid	1.198935282657911	0.48161921468087976	1.3529224083748612
ES	ES001	Madrid	1.1765639708689575	0.4866063958979895	1.380361885527079
ES	ES001	Madrid	1.185410422166208	0.45597085413574423	1.4240727924295031
ES	ES001	Madrid	1.1997326483868191	0.4481338550802861	1.4535471845146974
ES	ES001	Madrid	1.2149370805801458	0.6226851976791257	1.4519572494290374
ES	ES001	Madrid	1.255868123642126	1.0059856969369856	1.4035828906090275
ES	ES001	Madrid	1.2622689223487487	1.1527513156119282	1.364284227143009
ES	ES001	Madrid	1.2930065426801556	1.2026231277830253	1.3444242400567488
ES	ES001	Madrid	1.3219197000810614	1.3693374713264066	1.3113833818335945
ES	ES002	Barcelona	1.1014043965686593	0.6661449197139387	1.1507952043537792
ES	ES002	Barcelona	1.1257984853580134	0.638359195790042	1.176198819807388
ES	ES002	Barcelona	1.1395966905102333	0.767313452975307	1.1791609338832125
ES	ES002	Barcelona	1.1147046955400346	0.760188908379436	1.198412781844807
ES	ES002	Barcelona	1.1130093488555777	0.7381028201322358	1.2139249055576775
ES	ES002	Barcelona		0.4965807583322089	1.2469714443746274
ES	ES002	Barcelona	1.0873678433564935	0.4744946700850088	1.2741903251344522
ES	ES002	Barcelona	1.0990695665465045	0.46950748886789906	1.3009553895677228
ES	ES002	Barcelona		0.6212602887599515	1.2878063928737926
ES	ES002	Barcelona	1.1869359558001693	1.1570260423694507	1.2197595065627749
ES	ES002	Barcelona	1.2028144702431216	1.2674564836054514	1.2065830536654996
ES	ES002	Barcelona	1.2122459215340002	1.364350290109297	1.1744867519551243
ES	ES002	Barcelona	1.2771005877208468	1.612284442045608	1.1400686653250982
ES	ES003	Valencia	0.9554070630127623	0.8129105383888815	0.9164969041373474
ES	ES003	Valencia	0.9501032221459926	0.7288409121576036	0.9470846926064654
ES	ES003	Valencia	0.9621783749716372	0.8499581702874106	0.9635041333838998
ES	ES003	Valencia	0.9400704656271294	0.8221724463635137	0.9711394826221802
ES	ES003	Valencia	0.9331436574089013	0.7651760895965457	0.9813512967352773
ES	ES003	Valencia	0.9073786033047724	0.6119983807853191	0.9862811053841645
ES	ES003	Valencia	0.910311822171531	0.5706760221292673	1.0168000955506478
ES	ES003	Valencia	0.9160219682684092	0.5792254756443126	1.0518761842953228
ES	ES003	Valencia	0.9281608838397901	0.8157603562272298	1.0480417834833402
ES	ES003	Valencia	0.9921843807630867	1.471218459047362	0.979152275759319
ES	ES003	Valencia	1.0141284423867414	1.5887734448792337	0.9607004447572617
ES	ES003	Valencia	1.0219728508668986	1.7148778842261505	0.9379480886634443
ES	ES003	Valencia		1.9286142221022806	0.894566971789705
ES	ES004	Seville	0.9798048635627832	1.8915665902037513	0.734289964614467
ES	ES004	Seville	0.9472291263241374	1.513965726622588	0.7600804916232604
ES	ES004	Seville		1.435595736068007	0.7932497943839024
ES	ES004	Seville	0.9471951902266145	1.3059290244231547	0.8175485343442808
ES	ES004	Seville	0.9389076240354447	1.242520577519903	0.8318607904121178
ES	ES004	Seville	0.9213813529822963	0.9867494265281339	0.8603306641611359
ES	ES004	Seville		0.9176413439481852	0.8744807077172562
ES	ES004	Seville	0.9359557138024724	0.9276157063824045	0.9022562866690428
ES	ES004	Seville	0.9356065431740528	1.1406395897989476	0.8907657077748631
ES	ES004	Seville	0.9824183407606927	1.6813925246255568	0.8537837798117879
ES	ES004	Seville	0.9937445133089753	1.8124841451895832	0.8345789545432788
ES	ES004	Seville	0.9955315935070489	1.9364512211577385	0.824438779029714
ES	ES004	Seville	1.0410570008969597	2.248506274456888	0.8030608110458707
ES	ES005	Zaragoza	1.0190098053519265	0.5357657536094994	1.0029864693826407
ES	ES005	Zaragoza	1.0308959235093378	0.35907704763189857	1.0192443288254467
ES	ES005	Zaragoza	1.0612434112821119	0.4381594926460667	1.0548020056885647
ES	ES005	Zaragoza	1.059841293690314	0.532915935771151	1.0797063600652554
ES	ES005	Zaragoza	1.036920508759827	0.41678585885845365	1.1021443899690535
ES	ES005	Zaragoza	1.025161120716603	0.41108622318175686	1.1308007765476913
