,Company_name,Company_ID,Big3Share,Position,Revenue,Assets,Employees,MarketCap,Exchange,TypeEnt,logMarketCap,logRevenue,logEmployees,logAssets
0,INVESCO LTD,BM40671R,17.85,1,7500000.0,,7500.0,13123024.0,New York Stock Exchange (NYSE),Bank,7.118033923087352,6.8750612633917,3.8750612633917,
1,ROYAL CARIBBEAN CRUISES LTD,LR30002MX,14.32,3,7500000.0,,7500.0,16739323.0,New York Stock Exchange (NYSE),Industrial company,7.223737889540769,6.8750612633917,3.8750612633917,
2,GENCO SHIPPING & TRADING LTD,MH30004AQ,0.14,31,350000.0,,1500.0,43392.0,New York Stock Exchange (NYSE),Industrial company,4.63740966785095,5.544068044350276,3.1760912590556813,
3,EAGLE BULK SHIPPING INC,MH40003AQ,2.85,9,350000.0,,750.0,26674.0,NASDAQ National Market,Industrial company,4.4260881468360544,5.544068044350276,2.8750612633917,
27,IDEXX LABORATORIES INC,US010393723,17.099999999999998,1,1601892.0,1474993.0,6800.0,8064073.0,NASDAQ National Market,Industrial company,6.906554450568921,6.204633232481587,3.832508912706236,6.168789959250733
29,CAMDEN NATIONAL CORPORATION,US010413282,9.34,1,111443.0,3709871.0,652.0,441700.0,NASDAQ National Market,Bank,5.645127399258391,5.047052794603174,2.81424759573192,6.56935880854707
32,CONOCOPHILLIPS,US010562944,16.9,1,29456000.0,97484000.0,15900.0,54897708.0,New York Stock Exchange (NYSE),Industrial company,7.739554212870284,7.469173771159939,4.201397124320452,7.9889333410121415
33,"ENPRO INDUSTRIES, INC.",US010573945,19.630000000000006,1,1204400.0,1498800.0,5400.0,1091435.0,New York Stock Exchange (NYSE),Industrial company,6.037997876571136,6.080770746840722,3.7323937598229686,6.17574368442176
35,"ASBURY AUTOMOTIVE GROUP, INC.",US010609375,19.46,1,6588300.0,2305900.0,8600.0,1242495.0,New York Stock Exchange (NYSE),Industrial company,6.094294649737942,6.818773366663194,3.934498451243568,6.362840469311725
37,HURON CONSULTING GROUP,US010666114,14.74,1,769023.0,1159543.0,2671.0,1281747.0,NASDAQ National Market,Industrial company,6.107802309623285,5.885939328908986,3.426673888021373,6.064286858464697
38,"AMERICAN PUBLIC EDUCATION, INC.",US010724376,19.85,1,327910.0,303896.0,2210.0,453752.0,NASDAQ National Market,Industrial company,5.656818552285601,5.515754661190856,3.3443922736851106,5.48272498376089
