FARM,YEAR,COWS,LAND,MILK,LABOR,FEED,YIT,X1,X2,X3,X4,X11,X22,X33,X44,X12,X13,X14,X23,X24,X34,YEAR93,YEAR94,YEAR95,YEAR96,YEAR97,YEAR98 
1,93,15.3,8,73647,2,33435.738,11.2070387,-0.2508472,-0.3812693,0.2360746,-0.2680185,0.0314622,0.0726832,0.0278656,0.035917,0.0956403,-0.0592187,0.0672317,-0.090008,0.1021872,-0.0632724,1,0,0,0,0,0
1,94,18.1,8,91260,2,36869.04,11.4214679,-0.0827881,-0.3812693,0.2360742,-0.1702716,0.0034269,0.0726832,0.0278655,0.0144962,0.0315645,-0.0195441,0.0140965,-0.0900079,0.0649193,-0.0401967,0,1,0,0,0,0
1,97,17.1,7,110419,2,51013.578,11.6120375,-0.1396215,-0.5148007,0.2360754,0.154448,0.0097471,0.1325099,0.0278658,0.0119271,0.0718773,-0.0329612,-0.0215643,-0.1215318,-0.07951,0.0364614,0,0,0,0,1,0
1,96,17.3,8,111454,2,50711.57,11.6213672,-0.1279935,-0.3812693,0.2360752,0.1485103,0.0081912,0.0726832,0.0278657,0.0110277,0.0488,-0.0302161,-0.0190084,-0.0900082,-0.0566224,0.0350596,0,0,0,1,0,0
1,95,17.8,8,118498,2,54153.586,11.6826514,-0.0995015,-0.3812693,0.2360746,0.2141804,0.0049503,0.0726832,0.0278656,0.0229366,0.0379369,-0.0234898,-0.0213113,-0.090008,-0.0816604,0.0505626,0,0,1,0,0,0
1,98,19.5,7.2,131197,2,59038.65,11.7844553,-0.0082855,-0.4866298,0.2360749,0.3005485,0.0000343,0.1184043,0.0278657,0.0451647,0.004032,-0.001956,-0.0024902,-0.1148811,-0.1462559,0.070952,0,0,0,0,0,1
2,93,20.3,9,118149,2,53875.944,11.6797018,0.0319209,-0.2634863,0.2360746,0.2090403,0.0005095,0.0347125,0.0278656,0.0218489,-0.0084107,0.0075357,0.0066728,-0.0622024,-0.0550792,0.0493491,1,0,0,0,0,0
2,94,20.3,10.4,127742,2,51990.994,11.7577679,0.0319209,-0.1189051,0.236075,0.1734267,0.0005095,0.0070692,0.0278657,0.0150384,-0.0037956,0.0075357,0.0055359,-0.0280705,-0.0206213,0.0409417,0,1,0,0,0,0
2,95,22,10.7,146490,2,61379.31,11.8947124,0.1123425,-0.0904671,0.2360744,0.339429,0.0063104,0.0040922,0.0278656,0.057606,-0.0101633,0.0265212,0.0381323,-0.021357,-0.0307072,0.0801305,0,0,1,0,0,0
2,96,23.3,10.7,163434,2,71093.79,12.0041645,0.1697534,-0.0904671,0.2360744,0.4863562,0.0144081,0.0040922,0.0278656,0.1182712,-0.0153571,0.0400744,0.0825606,-0.021357,-0.0439992,0.1148162,0,0,0,1,0,0
2,97,23.3,10.6,163603,2,69204.069,12.005198,0.1697534,-0.0998569,0.2360749,0.4594159,0.0144081,0.0049857,0.0278657,0.1055315,-0.016951,0.0400745,0.0779874,-0.0235737,-0.0458758,0.1084566,0,0,0,0,1,0
2,98,25,9.4,169540,3,73580.36,12.0408442,0.2401758,-0.2200012,0.6415397,0.5207343,0.0288422,0.0242003,0.2057866,0.1355821,-0.052839,0.1540823,0.1250678,-0.1411395,-0.1145622,0.3340718,0,0,0,0,0,1
3,93,19.6,11,102445,2.5,42412.23,11.5370813,-0.0031704,-0.0628156,0.4592182,-0.030207,0.000005,0.0019729,0.1054407,0.0004562,0.0001992,-0.0014559,0.0000958,-0.0288461,0.0018975,-0.0138716,1,0,0,0,0,0
3,94,22.2,11,129938,2.5,63149.868,11.7748127,0.1213923,-0.0628156,0.459218,0.367867,0.007368,0.0019729,0.1054406,0.067663,-0.0076253,0.0557455,0.0446562,-0.0288461,-0.0231078,0.1689311,0,1,0,0,0,0
3,96,24.7,11,132594,2.5,54893.916,11.7950471,0.2281032,-0.0628156,0.4592187,0.2277587,0.0260155,0.0019729,0.1054409,0.025937,-0.0143284,0.1047493,0.0519525,-0.0288461,-0.0143068,0.1045911,0,0,0,1,0,0
3,95,25.4,12,134282,2.5,58681.234,11.8076973,0.2560492,0.0241958,0.4592182,0.2944762,0.0327806,0.0002927,0.1054407,0.0433581,0.0061953,0.1175824,0.0754004,0.0111111,0.0071251,0.1352288,0,0,1,0,0,0
