adULTs	kiDs	IMCoMe	ConsUMe
2	2	758	1
2	3	1785	1
3	0	1200	1
1	0	545	1
4	1	547	1
2	2	1264	1
1	0	513	1
1	0	120	1
2	1	763	1
1	2	166	1
2	2	291	1
1	0	300	1
2	0	223	0
2	0	1567	1
2	0	1090	1
3	0	1167	1
1	0	121	1
3	0	934	1
4	0	1212	0
2	1	607	1
3	0	450	1
2	0	1701	1
2	0	343	0
3	1	843	1
2	2	1853	1
2	3	751	1
2	1	709	1
2	2	646	1
2	0	315	1
2	0	1119	1
1	0	942	0
1	0	314	1
2	2	643	0
2	1	1391	1
2	2	649	1
2	0	1331	1
6	0	1467	1
3	0	1277	1
2	1	533	1
4	0	1059	1
2	2	1224	1
2	3	3696	1
2	2	1310	1
2	0	710	0
2	2	1172	1
2	0	232	0
4	1	2134	0
2	2	227	1
2	4	379	1
2	0	218	0
2	2	1604	1
5	1	809	1
2	0	785	1
2	1	1384	1
5	0	2474	1
2	0	1477	1
1	0	540	1
2	0	1212	1
1	0	139	1
2	0	534	1
2	3	858	1
2	1	562	1
2	0	306	1
1	0	356	1
1	0	124	0
2	1	359	1
1	0	552	1
1	0	142	1
1	4	242	1
2	0	421	1
2	0	224	0
2	0	222	1
2	4	714	1
1	0	490	1
2	0	390	0
3	0	2484	1
2	3	561	0
1	0	215	0
3	0	1248	1
1	0	321	1
4	2	1155	1
3	0	208	1
2	2	928	1
4	1	1707	1
2	1	1109	1
4	0	1010	1
2	2	857	1
2	0	566	1
2	1	816	1
2	2	894	1
2	0	926	0
3	2	697	1
2	0	278	1
1	0	132	0
2	0	366	1
2	0	869	1
3	0	1260	1
1	0	475	1
1	0	146	0
2	2	825	1
2	0	491	1
4	0	824	1
2	2	699	0
2	0	297	0
2	3	592	1
2	0	755	1
2	2	12	1
1	2	225	1
3	0	787	0
3	3	1106	1
2	3	642	1
2	0	274	0
2	0	598	1
4	0	292	1
1	0	122	1
5	1	1152	0
2	4	927	1
3	0	1287	1
1	0	120	1
1	0	116	0
2	0	210	0
1	1	155	1
2	0	307	1
2	0	720	1
1	0	239	0
2	0	251	1
3	0	1028	1
3	3	949	0
1	0	350	0
2	1	475	1
2	0	773	1
1	0	124	0
2	0	281	0
2	0	327	1
2	0	224	1
1	0	581	1
2	0	193	1
2	2	722	1
1	0	124	0
2	4	671	0
1	0	116	0
1	0	547	1
1	0	491	0
2	0	370	1
2	0	181	1
2	2	1324	1
1	1	52	1
2	0	200	1
2	2	872	1
1	0	130	0
2	0	1418	1
4	1	1306	1
1	0	153	1
2	0	668	1
2	2	612	1
2	1	826	1
1	0	370	1
1	0	124	0
2	0	715	1
2	0	896	1
2	2	320	1
1	0	474	1
2	4	601	1
1	0	135	1
1	0	124	1
2	2	2269	1
3	2	777	1
1	0	527	0
2	1	455	1
1	0	125	1
2	2	268	1
2	0	1249	1
1	0	426	1
1	0	188	1
3	0	1450	1
3	0	593	1
3	0	308	1
1	2	240	0
4	2	1028	1
2	0	277	1
1	0	695	1
2	1	554	1
2	2	994	1
2	2	920	0
3	0	874	1
1	0	438	1
2	0	400	0
2	0	544	1
1	0	137	0
2	2	1160	1
2	0	541	1
2	0	255	1
2	0	332	1
1	0	125	0
2	0	694	0
1	1	165	0
2	0	1162	1
2	0	216	1
5	0	1178	1
1	0	124	0
2	0	1022	1
2	1	835	1
2	3	621	0
2	2	431	1
2	2	826	1
2	0	1715	1
1	0	404	1
2	0	231	1
2	0	1110	1
1	0	249	1
2	0	975	1
2	0	1000	0
2	0	757	1
2	2	687	1
1	0	144	0
1	0	131	0
1	2	188	0
3	0	1599	1
3	0	712	1
2	0	397	1
1	0	116	1
2	2	936	1
3	3	509	1
2	3	814	1
2	0	629	1
1	0	145	0
2	0	853	0
2	0	347	1
1	0	170	1
2	0	360	0
2	0	2142	1
1	0	418	1
1	0	723	1
1	0	645	0
2	0	855	1
2	3	378	1
2	0	725	1
2	0	244	0
2	2	653	1
1	0	118	1
1	2	210	1
4	0	725	1
1	0	486	1
3	0	1920	1
1	1	169	1
3	3	1450	1
4	2	741	1
2	3	281	0
2	0	216	0
2	2	952	1
1	0	125	1
2	2	1232	1
3	0	353	1
1	0	442	1
2	0	476	1
2	0	925	1
2	0	549	0
2	3	618	0
3	0	1383	1
2	0	759	1
3	2	526	0
2	0	598	1
2	1	596	1
2	1	891	1
2	0	922	1
2	0	287	0
2	0	440	1
2	3	529	1
2	3	609	1
1	0	541	0
2	0	224	1
2	2	790	1
2	1	787	1
3	0	567	1
3	1	1023	1
2	0	210	1
2	0	1734	1
2	2	1376	1
3	0	1053	1
3	2	467	1
1	0	170	1
1	0	461	1
2	4	499	1
1	2	690	1
2	1	1458	1
2	0	830	1
2	3	302	1
2	0	290	1
2	1	370	0
2	0	200	1
1	0	125	1
2	2	675	1
1	0	365	1
2	2	518	1
1	0	193	1
1	0	381	1
1	3	181	0
2	0	789	1
2	2	403	0
2	2	464	1
2	0	246	1
1	0	12	1
3	0	554	1
3	0	1348	1
3	1	1718	1
1	2	310	0
1	0	322	1
2	3	951	0
3	0	1016	1
4	1	1012	1
2	0	383	1
2	0	1247	1
1	0	290	0
2	1	465	1
2	0	232	0
2	0	751	1
1	0	612	1
2	2	708	1
2	0	315	1
2	0	1566	1
2	2	485	1
2	2	849	1
2	3	729	1
2	1	798	1
1	2	248	1
2	5	1083	1
3	1	1531	1
2	0	433	0
3	0	811	1
1	0	134	1
3	0	1293	1
3	1	515	1
3	0	1169	1
2	0	808	1
2	0	208	1
4	0	1205	1
2	2	607	1
2	0	208	0
2	0	869	1
2	2	1034	1
2	0	208	1
4	0	2227	1
2	1	801	1
1	0	124	0
2	2	278	1
2	0	246	1
2	0	920	1
1	2	204	1
2	2	459	1
2	1	654	0
2	0	710	0
2	1	346	0
2	2	1411	1
3	0	364	0
3	0	466	1
2	3	878	1
2	0	346	1
2	1	575	1
1	0	475	1
2	2	736	1
2	0	1017	1
2	3	997	0
2	0	774	1
3	0	516	1
3	0	1719	1
2	0	887	1
2	0	371	1
1	0	129	0
2	3	1082	1
1	0	155	0
2	3	590	1
2	0	1090	1
1	1	302	0
2	0	665	1
2	3	823	0
4	2	962	1
1	0	92	0
2	0	435	1
2	2	695	1
2	0	282	1
2	2	638	1
2	0	298	0
2	4	912	1
2	1	666	1
2	0	852	1
2	1	341	1
1	2	633	1
2	2	1112	1
1	0	410	1
2	2	2034	1
2	0	393	1
2	0	205	0
2	0	482	1
4	0	1051	1
2	0	967	1
3	0	881	1
2	0	722	1
3	2	633	1
1	2	424	0
2	2	768	1
1	0	112	1
2	3	513	1
1	4	285	1
2	0	344	1
2	0	692	1
2	0	471	0
1	0	120	0
1	0	534	1
2	0	965	0
3	0	482	1
2	4	652	1
3	0	896	1
2	1	991	1
1	0	406	1
2	0	296	1
2	0	208	1
1	0	619	1
2	5	508	1
2	0	208	1
3	0	527	1
1	1	323	0
3	0	544	1
2	3	766	1
3	1	1776	1
2	0	426	1
2	0	957	1
4	0	1846	1
1	0	627	1
1	0	247	1
2	0	187	0
2	4	464	0
1	0	142	1
3	0	210	1
2	0	264	1
4	1	1457	1
1	0	196	1
2	1	328	0
2	1	423	1
2	0	470	1
3	1	1183	0
1	0	147	0
1	0	121	1
2	2	679	1
1	0	128	0
2	1	769	1
3	0	291	0
2	0	207	1
1	3	557	0
2	0	318	0
3	1	1100	1
2	0	712	1
1	1	159	0
2	2	927	0
2	0	913	1
2	0	252	1
2	0	235	0
2	3	928	1
1	0	1000	1
1	0	507	1
1	0	120	0
1	0	140	1
1	0	253	1
2	0	124	1
3	0	654	1
2	0	210	1
2	0	347	1
2	0	432	1
2	0	254	1
1	0	489	0
1	0	120	0
3	0	936	1
2	3	1064	1
2	1	403	1
