Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	Assets	MarketCap	Revenue	Country
1-800 FLOWERS.COM, INC.	US113117311	5.08	4	NASDAQ National Market	Industrial company	5.696421047484532	5.461298891527819	6.049801988620623	US
1347 PROPERTY INSURANCE HOLDINGS INC	US257638358L	0.0	120	NASDAQ National Market	Insurance company		4.627273661658086	4.57404284875949	US
1ST CENTURY BANCSHARES, INC.	US261169687	0.0	122	NASDAQ National Market	Bank	4.812432025353252	5.060890397820781	3.4126285205443754	US
1ST CONSTITUTION BANCORP	US223665653	0.59	15	NASDAQ National Market	Bank		4.9982418965279996	4.57404284875949	US
1ST SOURCE CORPORATION	US351068133	6.7799999999999985	4	NASDAQ National Market	Bank	6.714993019314443	5.946474863459236	5.39765849462736	US
22ND CENTURY GROUP, INC.	US980468420	1.85	8	NYSE MKT	Industrial company	4.262379888077364	4.8148998795558455	3.9305924884425982	US
2U, INC.	US262335939	7.43	6	NASDAQ National Market	Industrial company	5.363690935347666	6.1117352070464985	5.1766554752210565	US
3D SYSTEMS CORPORATION	US954431352	15.72	1	New York Stock Exchange (NYSE)	Industrial company	5.950985665783739	6.170949585797364	5.823581159391193	US
3M COMPANY	US410417775	20.04	1	New York Stock Exchange (NYSE)	Industrial company	7.514786761344335	8.010445149584106	7.481069820936618	US
8POINT3 ENERGY PARTNERS LP	US473298142	0.34	34	NASDAQ National Market	Industrial company	6.007591608687308	5.480534390996007	4.0277979433503	US
8X8, INC.	US770142404	19.15	1	NASDAQ National Market	Industrial company	5.4707411580818865	6.045720313361818	5.2106234624709655	US
A-MARK PRECIOUS METALS, INC.	US112464169	2.3400000000000003	11	NASDAQ National Market	Financial company	5.5130883582480505	5.046857900380879	6.783205504457084	US
A. H. BELO CORPORATION	US383765318	6.11	5	New York Stock Exchange (NYSE)	Industrial company	5.345377651936255	5.035577813360542	5.434742906299042	US
A. M. CASTLE & CO.	US360879160	5.260000000000002	8	New York Stock Exchange (NYSE)	Industrial company	5.693293317167384	4.7533302213245205	5.886918604598697	US
A. SCHULMAN, INC.	US340514850	17.1	1	NASDAQ National Market	Industrial company	6.371384135231832	5.873786622342408	6.378802206217917	US
A.O. SMITH CORPORATION	US390619790	24.66	2	New York Stock Exchange (NYSE)	Industrial company	6.419823788789525	6.792591769101969	6.404235037871399	US
A10 NETWORKS, INC.	US201446869	5.37	4	New York Stock Exchange (NYSE)	Industrial company	5.284548033914101	5.613505668346747	5.298757040881751	US
AAC HOLDINGS, INC.	US352496142	3.61	8	New York Stock Exchange (NYSE)	Industrial company	5.499755794663781	5.705347039186904	5.326872251973544	US
AAON INC	US870448736	14.51	2	NASDAQ National Market	Industrial company	5.367085567796325	6.1706928613736975	5.5546502491372305	US
AAR CORP	US362334820	19.57	1	New York Stock Exchange (NYSE)	Industrial company	6.180412919501253	5.930631722473596	6.20257031850189	US
AARON'S, INC.	US580687630	16.47	1	New York Stock Exchange (NYSE)	Industrial company	6.424092659591263	6.260122450378239	6.502393932062581	US
ABAXIS INC	US770213001	18.53	1	NASDAQ National Market	Industrial company	5.433579438445288	6.016254669907366	5.340249729521316	US
ABBOTT LABORATORIES	US360698440	17.34	1	New York Stock Exchange (NYSE)	Industrial company	7.615392377213229	7.761459291581413	7.309736620393018	US
ABBVIE INC.	US320375147	16.78	1	New York Stock Exchange (NYSE)	Industrial company	7.7246853964238715	8.00614312376035	7.3590572466337285	US
